gamma,d,D(d)
0.1J,0,0.00105281
,2,0.00077821
,4,0.0005974
,6,0.00050619
,8,0.00045044
,10,0.00040912
,12,0.00037657
,14,0.00035
,16,0.00032972
,18,0.00031329
,20,0.00030219
,22,0.00029663
,24,0.00029675
,,
0.2J,0,0.00265298
,2,0.00170062
,4,0.00108182
,6,0.00079931
,8,0.00062082
,10,0.00049235
,12,0.00039666
,14,0.00032467
,16,0.00027008
,18,0.00022858
,20,0.00019737
,22,0.00017456
,24,0.00015906
,,
0.4J,0,0.00707071
,2,0.00350893
,4,0.00177285
,6,0.00106957
,8,0.00067429
,10,0.00043724
,12,0.000291
,14,0.00019837
,16,0.00013838
,18,0.00009885
,20,0.00007246
,22,0.00005474
,24,0.00004294
,,
0.5J,0,0.00959579
,2,0.00425017
,4,0.00194838
,6,0.0010793
,8,0.00062924
,10,0.00038075
,12,0.00023763
,14,0.00015231
,16,0.00010012
,18,0.00006754
,20,0.00004685
,22,0.00003357
,24,0.00002504