L,x-axis,y-axis
16,-0.57032488,0.76630651
,-0.47991857,0.74601245
,-0.38951226,0.72189327
,-0.29910595,0.69510456
,-0.20869964,0.66650440
,-0.11829334,0.63676258
,-0.02788703,0.60642003
,0.06251928,0.57592157
,0.15292559,0.54563310
,0.24333190,0.51585243
,0.33373821,0.48681715
,0.42414452,0.45871158
,0.51455083,0.43167326
,0.60495714,0.40579938
,0.69536345,0.38115285
,0.78576976,0.35776805
,0.87617607,0.33565606
,0.96658238,0.31480936
,1.05698869,0.29520590
,1.50902024,0.21444702
,2.41308333,0.11915139
,3.31714643,0.07629461
,,
18,-0.62624293,0.81290886
,-0.52697265,0.78582555
,-0.42770237,0.75532122
,-0.32843208,0.72247153
,-0.22916180,0.68811966
,-0.12989152,0.65296337
,-0.03062124,0.61758834
,0.06864905,0.58248127
,0.16791933,0.54803804
,0.26718961,0.51457070
,0.36645990,0.48231574
,0.46573018,0.45144331
,0.56500046,0.42206691
,0.66427075,0.39425279
,0.76354103,0.36802885
,0.86281131,0.34339260
,0.96208159,0.32031809
,1.06135188,0.29876188
,1.16062216,0.27866799
,1.65697358,0.19773762
,2.64967640,0.10628730
,3.64237923,0.06676939
,,
20,-0.68089341,0.86038689
,-0.57296008,0.82493818
,-0.46502676,0.78683755
,-0.35709344,0.74699378
,-0.24916011,0.70620825
,-0.14122679,0.66519024
,-0.03329347,0.62454862
,0.07463986,0.58478441
,0.18257318,0.54629147
,0.29050651,0.50936301
,0.39843983,0.47420288
,0.50637315,0.44093875
,0.61430648,0.40963572
,0.72223980,0.38030916
,0.83017313,0.35293614
,0.93810645,0.32746529
,1.04603977,0.30382494
,1.15397310,0.28192985
,1.26190642,0.26168630
,1.80157304,0.18181610
,2.88090628,0.09498412
,3.96023952,0.05875909
,,
22,-0.73442813,0.90021853
,-0.61800863,0.85733772
,-0.50158913,0.81219886
,-0.38516964,0.76571852
,-0.26875014,0.71878654
,-0.15233064,0.67220190
,-0.03591114,0.62663375
,0.08050836,0.58260727
,0.19692786,0.54050776
,0.31334736,0.50059537
,0.42976686,0.46302456
,0.54618636,0.42786457
,0.66260585,0.39511851
,0.77902535,0.36474024
,0.89544485,0.33664846
,1.01186435,0.31073800
,1.12828385,0.28688893
,1.24470335,0.26497330
,1.36112285,0.24486042
,1.94322034,0.16695405
,3.10741533,0.08510709
,4.27161032,0.05201737
,,
24,-0.78696863,0.93391725
,-0.66222056,0.88407992
,-0.53747249,0.83213377
,-0.41272441,0.77919754
,-0.28797634,0.72634663
,-0.16322827,0.67450551
,-0.03848020,0.62440336
,0.08626787,0.57657194
,0.21101595,0.53136398
,0.33576402,0.48898272
,0.46051209,0.44951275
,0.58526016,0.41294890
,0.71000824,0.37922096
,0.83475631,0.34821401
,0.95950438,0.31978441
,1.08425245,0.29377194
,1.20900053,0.27000887
,1.33374860,0.24832663
,1.45849667,0.22856013
,2.08223703,0.15324102
,3.32971776,0.07648012
,4.57719848,0.04631124
,,
26,-0.83861421,0.96372309
,-0.70567942,0.90701853
,-0.57274464,0.84821329
,-0.43980985,0.78881693
,-0.30687507,0.73016016
,-0.17394028,0.67329935
,-0.04100550,0.61900110
,0.09192929,0.56777047
,0.22486407,0.51989580
,0.35779886,0.47549631
,0.49073364,0.43456606
,0.62366843,0.39701114
,0.75660321,0.36267901
,0.88953799,0.33138136
,1.02247278,0.30291042
,1.15540756,0.27705160
,1.28834235,0.25359137
,1.42127713,0.23232344
,1.55421192,0.21305178
,2.21888584,0.14069471
,3.54823369,0.06893616
,4.87758153,0.04144740
,,
28,-0.88944738,0.99101500
,-0.74845466,0.92694961
,-0.60746195,0.86097561
,-0.46646923,0.79503843
,-0.32547651,0.73069925
,-0.18448379,0.66909505
,-0.04349107,0.61097619
,0.09750164,0.55677439
,0.23849436,0.50667677
,0.37948708,0.46069233
,0.52047980,0.41870760
,0.66147251,0.38053011
,0.80246523,0.34591990
,0.94345795,0.31461380
,1.08445067,0.28634158
,1.22544339,0.26083665
,1.36643610,0.23784324
,1.50742882,0.21712126
,1.64842154,0.19844740
,2.35338513,0.12926502
,3.76331230,0.06232363
,5.17323948,0.03727210
,,
30,-0.93953774,1.01723168
,-0.79060484,0.94482571
,-0.64167194,0.87115090
,-0.49273904,0.79850214
,-0.34380613,0.72857053
,-0.19487323,0.66248363
,-0.04594033,0.60090177
,0.10299257,0.54412953
,0.25192548,0.49221516
,0.40085838,0.44503337
,0.54979128,0.40234874
,0.69872418,0.36386240
,0.84765709,0.32924511
,0.99658999,0.29815938
,1.14552289,0.27027479
,1.29445579,0.24527642
,1.44338870,0.22287069
,1.59232160,0.20278731
,1.74125450,0.18478030
,2.48591901,0.11887320
,3.97524804,0.05651014
,5.46457706,0.03366422