gamma,tJ,y-axis
0.1J,0.1,1.1244478830
,0.6,7.5471102973
,1.5,5.2087697538
,4,1.4087168919
,6.5,0.6901194644
,9,0.2504462365
,11.5,0.0823951719
,14,0.0328653224
,16.5,0.0090598530
,19,0.0045254413
,21.5,0.0015777102
,24,0.0005839599
,26.5,0.0002162731
,29,0.0000806555
,31.5,0.0000267522
,34,0.0000099702
,36.5,0.0000046140
,39,0.0000015190
,41.5,0.0000012056
,44,0.0000005231
,46.5,0.0000005126
,49,0.0000006019
,49.5,0.0000006200
,50,0.0000006490
,,
0.2J,0.1,1.1184241169
,0.6,6.3354335410
,1.5,2.9886591494
,4,0.2805917369
,6.5,0.0508806548
,9,0.0067028708
,11.5,0.0008375666
,14,0.0001475002
,16.5,0.0000245377
,19,0.0000109056
,21.5,0.0000047180
,24,0.0000036134
,26.5,0.0000028047
,29,0.0000021370
,31.5,0.0000015823
,34,0.0000011936
,36.5,0.0000010110
,39,0.0000008828
,41.5,0.0000007544
,44,0.0000006443
,46.5,0.0000005772
,49,0.0000005791
,49.5,0.0000006214
,50,0.0000005820
,,
0.5J,0.1,1.1005145238
,0.6,3.6779196582
,1.5,0.5278059663
,4,0.0075638289
,6.5,0.0018519561
,9,0.0008342324
,11.5,0.0004857370
,14,0.0003189356
,16.5,0.0001942488
,19,0.0001129503
,21.5,0.0000713224
,24,0.0000491647
,26.5,0.0000326148
,29,0.0000195758
,31.5,0.0000127277
,34,0.0000089059
,36.5,0.0000059812
,39,0.0000039478
,41.5,0.0000023661
,44,0.0000017282
,46.5,0.0000012410
,49,0.0000007347
,49.5,0.0000007544
,50,0.0000007006